"id";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"125";"http://makemark.com.co/babalu/img/p/0.jpg";"BÓXER ALGODÓN ELASTANO WINONA";"24751";"Lingerie";"1515.260000";"1515.26";"63";"0";
"149";"http://makemark.com.co/babalu/img/p/0.jpg";"PANTALÓN INTERIOR MICROFIBRA DEPORTIVO JUNIOR SUBLIMADO ALKA";"26876";"ROPA INTERIOR MICROFIBRA";"2828.480000";"2828.48";"48";"0";
"147";"http://makemark.com.co/babalu/img/p/0.jpg";"PANTALÓN INTERIOR MICROFIBRA DEPORTIVO JUNIOR SUBLIMADO JASON";"26886";"ROPA INTERIOR MICROFIBRA";"3636.620000";"3636.62";"9";"0";
"148";"http://makemark.com.co/babalu/img/p/0.jpg";"PANTALÓN INTERIOR MICROFIBRA DEPORTIVO JUNIOR SUBLIMADO AVENTURA";"26996";"ROPA INTERIOR MICROFIBRA";"5454.930000";"5454.93";"12";"0";
"33";"http://makemark.com.co/babalu/img/p/2/3/4/234.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"38303";"Ropa Deportiva Femenina";"13132.230000";"13132.23";"9";"1";
"98";"http://makemark.com.co/babalu/img/p/4/7/3/473.jpg";"SALIDA DE BAÑO SHORT NYLON SPANDEX COLOR ÚNICO TALLA UNICA";"60054";"Vestidos de Baño";"10101.710000";"10101.71";"3";"1";
"41";"http://makemark.com.co/babalu/img/p/2/6/5/265.jpg";"LEGGINS POLIÉSTER TALLA ÚNICA";"38333";"Ropa Deportiva Femenina";"13132.230000";"13132.23";"4";"1";
"106";"http://makemark.com.co/babalu/img/p/4/9/6/496.jpg";"CONJUNTO NYLON ELASTANO KATE";"25271";"Lingerie";"5353.910000";"5353.91";"27";"1";
"49";"http://makemark.com.co/babalu/img/p/2/9/0/290.jpg";"TOP POLIÉSTER TALLA ÚNICA";"37453";"Ropa Deportiva Femenina";"4040.690000";"4040.69";"2";"1";
"114";"http://makemark.com.co/babalu/img/p/5/1/5/515.jpg";"PANTY NYLON ELASTANO EVANS";"25171";"Lingerie";"2323.390000";"2323.39";"36";"1";
"57";"http://makemark.com.co/babalu/img/p/3/2/2/322.jpg";"BLUSA POLIÉSTER TALLA ÚNICA";"38903";"Ropa Deportiva Femenina";"7677.300000";"7677.3";"7";"1";
"122";"http://makemark.com.co/babalu/img/p/5/4/2/542.jpg";"BÓXER MALLA NYLON LIBERTY";"24041";"Lingerie";"1757.700000";"1757.7";"54";"1";
"65";"http://makemark.com.co/babalu/img/p/3/4/7/347.jpg";"BLUSA POLIÉSTER TALLA S-M-L";"39053";"Ropa Deportiva Femenina";"15152.570000";"15152.57";"3";"1";
"8";"http://makemark.com.co/babalu/img/p/9/5/95.jpg";"CAPRI TEJIDO SUPPLEX® TALLA ÚNICA";"38973";"Ropa Deportiva Femenina";"11111.890000";"11111.89";"4";"1";
"130";"http://makemark.com.co/babalu/img/p/5/5/8/558.jpg";"PIJAMA DE DESCANSO POLIÉSTER ELASTANO LILY";"25181";"Lingerie";"6061.030000";"6061.03";"9";"1";
"16";"http://makemark.com.co/babalu/img/p/1/6/0/160.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"38823";"Ropa Deportiva Femenina";"6263.060000";"6263.06";"9";"1";
"138";"http://makemark.com.co/babalu/img/p/5/7/2/572.jpg";"BÓXER DEPORTIVO MICROFIBRA ADDY";"28626";"ROPA INTERIOR MICROFIBRA";"3434.580000";"3434.58";"24";"1";
"82";"http://makemark.com.co/babalu/img/p/4/2/2/422.jpg";"BLUSA ALGODÓN FIBRA LYCRA® TALLA ÚNICA";"98413";"Ropa Deportiva Femenina";"2424.410000";"2424.41";"9";"1";
"24";"http://makemark.com.co/babalu/img/p/1/9/4/194.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"38343";"Ropa Deportiva Femenina";"14142.400000";"14142.4";"9";"1";
"146";"http://makemark.com.co/babalu/img/p/6/0/2/602.jpg";"PANTALÓN DEPORTIVO MICROFIBRA FONDO ENTERO";"26736";"ROPA DEPORTIVA MASCULINA";"6263.060000";"6263.06";"12";"1";
"90";"http://makemark.com.co/babalu/img/p/4/4/4/444.jpg";"SALIDA DE BAÑO PAREO POLIÉSTER COLOR ÚNICO TALLA ÚNICA";"60044";"Vestidos de Baño";"10505.780000";"10505.78";"3";"1";
"93";"http://makemark.com.co/babalu/img/p/4/5/4/454.jpg";"TRAJE DE BAÑO POLIAMIDA COLOR ÚNICO TALLA 32-34-36";"15154";"Vestidos de Baño";"10303.750000";"10303.75";"9";"1";
"36";"http://makemark.com.co/babalu/img/p/2/4/5/245.jpg";"BLUSA POLIÉSTER TALLA ÚNICA";"38933";"Ropa Deportiva Femenina";"7273.230000";"7273.23";"9";"1";
"101";"http://makemark.com.co/babalu/img/p/4/8/3/483.jpg";"TRAJE DE BAÑO NYLON SPANDEX COLOR ÚNICO TALLA 32-34-36";"15184";"Vestidos de Baño";"10505.780000";"10505.78";"9";"1";
"44";"http://makemark.com.co/babalu/img/p/2/7/6/276.jpg";"BLUSA POLIAMIDA TALLA ÚNICA";"38873";"Ropa Deportiva Femenina";"7071.200000";"7071.2";"6";"1";
"109";"http://makemark.com.co/babalu/img/p/5/0/2/502.jpg";"CONJUNTO NYLON ELASTANO JANE";"25321";"Lingerie";"4848.820000";"4848.82";"9";"1";
"52";"http://makemark.com.co/babalu/img/p/3/0/1/301.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"38503";"Ropa Deportiva Femenina";"7071.200000";"7071.2";"24";"1";
"117";"http://makemark.com.co/babalu/img/p/5/2/5/525.jpg";"TANGA ALGODÓN ELASTANO VIOLET";"25311";"Lingerie";"1717.290000";"1717.29";"27";"1";
"60";"http://makemark.com.co/babalu/img/p/3/3/3/333.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"32553";"Ropa Deportiva Femenina";"4646.790000";"4646.79";"21";"1";
"3";"http://makemark.com.co/babalu/img/p/7/0/70.jpg";"LEGGINS POLIÉSTER TALLA ÚNICA";"38413";"Ropa Deportiva Femenina";"14142.400000";"14142.4";"9";"1";
"68";"http://makemark.com.co/babalu/img/p/3/7/1/371.jpg";"TOP POLIAMIDA TALLA ÚNICA";"36553";"Ropa Deportiva Femenina";"4242.720000";"4242.72";"9";"1";
"11";"http://makemark.com.co/babalu/img/p/1/2/1/121.jpg";"BLUSA POLIÉSTER TALLA ÚNICA";"38793";"Ropa Deportiva Femenina";"5454.930000";"5454.93";"12";"1";
"133";"http://makemark.com.co/babalu/img/p/5/6/2/562.jpg";"PIJAMA DE DESCANSO POLIÉSTER ELASTANO PARISINA";"24631";"Lingerie";"5656.960000";"5656.96";"18";"1";
"19";"http://makemark.com.co/babalu/img/p/1/7/5/175.jpg";"LEGGINS POLIAMIDA TALLA ÚNICA";"38273";"Ropa Deportiva Femenina";"9091.540000";"9091.54";"8";"1";
"141";"http://makemark.com.co/babalu/img/p/5/8/0/580.jpg";"BÓXER DEPORTIVO MICROFIBRA IMPERIAL";"28856";"ROPA INTERIOR MICROFIBRA";"3535.600000";"3535.6";"24";"1";
"85";"http://makemark.com.co/babalu/img/p/4/3/0/430.jpg";"BLUSA MALLA NYLON TALLA ÚNICA";"12663";"Ropa Deportiva Femenina";"4646.790000";"4646.79";"9";"1";
"27";"http://makemark.com.co/babalu/img/p/2/0/6/206.jpg";"ENTERIZO TEJIDO SUPPLEX® TALLA ÚNICA";"39023";"Ropa Deportiva Femenina";"15758.670000";"15758.67";"9";"1";
"96";"http://makemark.com.co/babalu/img/p/4/6/5/465.jpg";"TRAJE DE BAÑO NYLON SPANDEX COLOR ÚNICO TALLA 32-34-36";"15024";"Vestidos de Baño";"9091.540000";"9091.54";"9";"1";
"39";"http://makemark.com.co/babalu/img/p/2/5/5/255.jpg";"BLUSA POLIÉSTER TALLA ÚNICA";"38643";"Ropa Deportiva Femenina";"7273.230000";"7273.23";"9";"1";
"104";"http://makemark.com.co/babalu/img/p/4/8/7/487.jpg";"BALACA";"10194";"Vestidos de Baño";"2020.340000";"2020.34";"6";"1";
"47";"http://makemark.com.co/babalu/img/p/2/8/7/287.jpg";"ENTERIZO POLIÉSTER TALLA ÚNICA";"38993";"Ropa Deportiva Femenina";"11515.950000";"11515.95";"1";"1";
"112";"http://makemark.com.co/babalu/img/p/5/1/1/511.jpg";"PANTY ALGODÓN ELASTANO YASMIN";"25101";"Lingerie";"2222.380000";"2222.38";"24";"1";
"55";"http://makemark.com.co/babalu/img/p/3/1/6/316.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"36443";"Ropa Deportiva Femenina";"10101.710000";"10101.71";"8";"1";
"120";"http://makemark.com.co/babalu/img/p/5/3/5/535.jpg";"TANGA NYLON ELASTANO EVA";"25291";"Lingerie";"2121.360000";"2121.36";"27";"1";
